Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
Michael King,SDP,119.1,98.88305555555556,94.57620751341683,NA,NA,106.92970772283273,NA,82.19939962476548,NA,NA,95.01723731989277,100.37041845794468,96.68131868282511,Michael King,19853,650633
Jacob Latz,TEX,49,115.67179999999996,NA,NA,NA,104.1607299270073,118.54937499999997,105.93297709923664,NA,NA,112.04058583106269,101.49553133514989,109.73904632152585,Jacob Latz,21306,656641
Andre Pallante,STL,112.1,96.39554367201426,107.96967359050444,NA,96.59962264150943,91.58844606946982,NA,NA,99.18159021406727,NA,97.59098710487665,105.78880978029558,104.08762680641621,Andre Pallante,26108,669467
Brandon Young,BAL,97.2,96.9986842105263,90.31843137254901,NA,93.52729032258067,106.56977777777776,91.12885057471263,NA,NA,NA,96.14856050372369,104.96560262501832,100.40710098425008,Brandon Young,27819,687064
Sonny Gray,BOS,106.2,89.68129032258065,103.85728395061729,84.03492063492064,NA,130.4836857142857,104.52645669291338,83.24738095238096,NA,NA,101.38292347186284,96.51589737054154,100.90607816850844,Sonny Gray,12768,543243
Kyle Bradish,BAL,118,85.11243902439024,95.58429936305733,NA,NA,113.47443548387098,105.59138014527845,NA,NA,NA,100.725674915068,100.09646384890765,102.55598387059449,Kyle Bradish,24586,680694
Ryan Weathers,NYY,108,98.07572354211665,93.15546012269938,NA,NA,110.02376511226252,NA,102.95537078651685,NA,NA,102.21469450173619,108.68943627467218,109.94815532405566,Ryan Weathers,23796,677960
Adrian Morejon,SDP,56.1,125.78363636363636,130.62645000000003,NA,NA,126.08047337278101,NA,129.17215053763437,NA,NA,128.74260578386603,106.77873173515984,133.49139066463727,Adrian Morejon,20039,670970
Trevor Megill,MIL,39.1,104.14093994778065,NA,NA,NA,NA,NA,NA,131.30018691588785,NA,113.87915769322805,98.27926776740846,109.1926728882508,Trevor Megill,17722,656730
Cade Smith,CLE,48,113.76529531568231,NA,NA,107.83313725490194,115.84038461538464,NA,NA,NA,NA,112.46965475039374,103.62510155531648,114.86150224809205,Cade Smith,27867,671922
Brent Headrick,NYY,52.1,102.05070866141736,108.75700000000002,NA,108.45547169811319,105.86510948905112,NA,NA,NA,NA,104.44474026899275,96.83361384772498,99.79417176073547,Brent Headrick,27702,687396
Emerson Hancock,SEA,105.1,92.06136942675161,97.72981912144702,100.05413612565447,NA,121.33105802047784,139.76000000000002,81.61349397590361,NA,NA,100.42584653883135,106.50609355838053,101.81336518000214,Emerson Hancock,27470,676106
Taj Bradley,MIN,114.2,107.31772179627603,NA,112.40849785407727,108.83535714285716,NA,111.6297175141243,NA,NA,NA,109.23135353160552,91.25367440445608,100.65773110940928,Taj Bradley,22543,671737
Dylan Lee,ATL,47.2,116.64431924882628,NA,NA,NA,118.15818652849741,NA,92.06032258064515,NA,NA,113.26928077455047,101.70505916705085,112.09001306285539,Dylan Lee,19996,669276
Nathan Eovaldi,TEX,122.1,89.43273469387755,101.50924242424244,94.49767705382436,95.0265588235294,92.64857142857143,101.63985111662531,NA,NA,NA,96.12128633760075,107.58617827105537,106.01785398691277,Nathan Eovaldi,9132,543135
Grant Taylor,CHW,52.1,109.95144230769232,111.0286956521739,113.66499999999999,NA,104.64061538461536,104.89271186440682,NA,NA,NA,107.81283967850852,110.07048860300246,118.45513638155376,Grant Taylor,33927,691799
Eury Pérez,MIA,98.2,122.6241531664212,107.10576744186048,NA,NA,122.29748603988602,106.24355555555556,84.40849673202615,NA,NA,116.08397421907998,92.77502766368765,106.08051643668327,Eury Perez,27768,691587
Jake Bennett,BOS,59.1,87.36666666666666,99.35532110091745,75.56533333333331,NA,101.25541666666668,110.30742857142855,86.42917073170732,NA,NA,91.77435451559924,114.63509852330387,104.61086381202065,Jake Bennett,31959,687562
Eduardo Rodriguez,ARI,122.2,91.28631853785902,94.98639534883719,94.63670886075953,NA,NA,89.63074509803923,87.47063097514341,NA,NA,90.77073004037486,108.04442392835546,101.59440076739601,Eduardo Rodriguez,13164,593958
Walbert Ureña,LAA,93.1,72.8288,109.26602564102562,NA,NA,121.3713247863248,NA,96.2699173553719,NA,NA,99.10750524794136,102.9980841231028,104.64183888857347,Walbert Urena,29357,700712
Joey Cantillo,CLE,109.2,88.66488619119879,NA,76.57283018867926,NA,83.37072727272728,99.50207436399216,107.541876247505,NA,NA,95.57642137857722,96.05560122829176,93.0403251973674,Joey Cantillo,23335,676282
Peter Lambert,HOU,98,97.08246031746032,88.5738888888889,83.5565,NA,100.93563706563708,88.04085714285713,79.90724324324323,NA,NA,91.63469161441427,101.15807814241766,93.55680013900947,Peter Lambert,17969,663567
