Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,botStf FA,botStf SI,botStf FC,botStf FS,botStf SL,botStf CU,botStf CH,botStf KC,Stuff+,Location+,Pitching+,botStf,botCmd,botOvr,NameASCII,PlayerId,MLBAMID
Jeff Criswell,COL,4,71.2630303030303,NA,NA,NA,91.1464864864865,NA,70.74666666666667,NA,NA,42.21033939393939,NA,NA,NA,49.28859648648648,NA,40.22264555555555,NA,80.5167088607595,87.95645569620253,76.77620253164557,47.558039367088604,39.47846772151899,36.6510335443038,Jeff Criswell,27608,676105
Lucas Giolito,SDP,29.2,74.28751091703056,NA,NA,NA,88.72404255319148,92.99729729729731,100.06680628272251,NA,NA,35.547018471615715,NA,NA,NA,37.55776627659574,45.244946486486484,59.43254963350787,NA,86.92691541455513,90.69336558755352,82.19288765567286,46.25979332129964,44.86660514440434,42.13733866425993,Lucas Giolito,15474,608337
Charlie Barnes,2 Tms,13,73.47194029850746,73.49906976744185,NA,NA,91.11599999999999,NA,63.17388888888888,NA,NA,37.925770597014925,43.31285953488372,NA,NA,40.923244545454544,NA,39.314095,NA,76.46129353233832,91.36786069651743,73.77452736318408,42.667995273631846,47.47314009950249,43.42278517412936,Charlie Barnes,19865,656212
Jose Corniell,TEX,4.1,93.91333333333334,107.54222222222222,83.34,NA,105.04384615384615,NA,77.30074074074074,NA,NA,40.78799,50.92643666666666,24.21549,NA,47.60086307692308,NA,43.82333333333333,NA,92.0687556561086,95.67828619909504,89.72011595022626,46.21832336538462,50.76437298076923,48.345906346153846,Jose Corniell,27984,692030
JR Ritchie,ATL,58,94.56728260869563,90.6388679245283,89.83353535353535,NA,90.52450704225352,100.91185714285716,89.15141242937854,NA,NA,47.87223010869565,48.00866127358491,54.29056707070707,NA,46.125901971830984,55.11162257142857,52.83451508474576,NA,93.81247711721318,95.45292699724519,95.91744312627745,51.00739423264906,48.6664603030303,47.72477211143695,JR Ritchie,31760,702275
Ricky Vanasco,DET,6.1,86.73632183908046,NA,NA,NA,NA,82.14615384615384,100.04545454545455,NA,NA,41.79356597701149,NA,NA,NA,NA,46.35715769230769,55.12030636363637,NA,89.12726888142342,102.25433121811622,93.17359711335077,45.49714099415205,53.3707581871345,47.81653567251462,Ricky Vanasco,23391,676568
Angel Chivilli,NYY,16.2,96.25050847457626,NA,NA,NA,96.81345794392523,NA,91.5979831932773,NA,NA,50.77111559322032,NA,NA,NA,48.67149056074766,NA,45.479585126050424,NA,94.54581818181819,92.93068580542264,92.01108133971293,51.54120954385966,45.329302596491225,45.14389642105264,Angel Chivilli,26790,683409
Seranthony Domínguez,2 Tms,43,104.38221574344023,98.79753623188408,NA,120.66272727272727,121.22093220338981,98.78933333333333,NA,NA,NA,56.88992938775512,64.67759804347826,NA,56.72277431818181,58.096991906779664,46.855884666666654,NA,NA,109.9637804878049,88.71946341463415,98.471243902439,56.646602414634145,46.01961436585367,50.51838507317072,Seranthony Dominguez,19249,622554
Eric Lauer,2 Tms,98.1,84.31434017595309,NA,95.89665738161558,NA,104.05169230769232,93.80094240837698,78.27059760956176,NA,NA,35.87938979472141,NA,37.33232520659239,NA,39.37078984615385,37.13750057591623,36.63071366533865,NA,88.66611418444764,103.30191375971636,89.23764816876815,39.55968281908302,54.15769063816605,47.933336654275095,Eric Lauer,19316,641778
Osvaldo Bido,2 Tms,18.2,88.47239130434784,96.95692307692308,NA,NA,109.4605,NA,72.192,NA,NA,51.57751062854442,52.728773242165246,NA,NA,48.98399472321428,NA,33.028807575757575,NA,98.92758064806617,88.31311812404668,84.80358330250802,51.02198968251672,49.42653437096634,51.00268447631176,Osvaldo Bido,23150,674370
